Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-5647                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5648                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5649                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5650                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5651                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5652                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5653                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5654                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5655                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5656                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5657                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5658                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5659                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5660                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5661                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5662                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5663                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5664                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5665                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5666                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5667                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5668                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5669                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5670                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5671                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5672                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5673                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5674                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5675                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-01-26,4.0,Active,High Risk
Starlink-5676                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5677                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5679                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5680                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5681                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5682                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5683                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5684                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5685                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5686                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5687                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5688                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5689                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5690                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5691                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5692                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5693                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5694                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5695                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5696                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5697                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5698                 ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5699                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5700                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5701                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5702                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5703                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5704                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5705                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5706                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5708                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5709                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5710                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5711                ,USA,Commercial,Communications,LEO,323.0,342.0,290.0,2023-02-02,4.0,Active,High Risk
Starlink-5712                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5713                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5714                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5715                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5717                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5718                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5719                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5720                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5721                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5722                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5725                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5726                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5727                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5728                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5729                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5730                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5732                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5734                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5735                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5736                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5737                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5738                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5739                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5740                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5741                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5742                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5743                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5744                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5745                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5747                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5748                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5749                                      ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5750                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5751                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5752                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5753                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5754                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5755                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5756                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5757                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5758                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5759                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5760                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5761                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5762                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5764                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5766                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5767                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5769                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-02-12,4.0,Active,High Risk
Starlink-5770                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5771                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5772                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5774                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5777                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5779                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5781                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5782                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5783                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5784                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5785                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5786                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5787                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5789                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5790                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5792                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5793                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5794                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5795                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5796                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5797                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5798                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5799                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5800                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5801                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5803                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5804                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5806                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5807                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5809                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5810                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5811                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5812                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5813                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5814                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5815                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5816                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5817                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5818                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5819                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5820                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5823                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5825                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5826                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5833                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5835                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-03,4.0,Active,High Risk
Starlink-5848                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5849                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5851                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5852                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5854                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5855                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5856                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5857                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5859                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5861                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5862                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5863                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5864                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5867                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5871                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5878                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5882                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5883                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5884                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5889                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5892                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5893                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5894               ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5895,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5896                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5897                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5898                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5899                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5900                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5901                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5902                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5903                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5904                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5905                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5906                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5907                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5908                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5909                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5910                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5911                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5912                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5913                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5914                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5915                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5916                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5917                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5918                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5919                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5920                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5921                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5922                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5924                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5925                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5926                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5927                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5928                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5929                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5930                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5932                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5933                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5934                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5936                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5938                ,USA,Commercial,Communications,LEO,577.0,581.0,290.0,2023-03-17,4.0,Active,High Risk
Starlink-5939,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5940                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5941,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5942                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5943                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5944                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5945                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5946                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5947                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5948                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5949                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5956                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5957                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5962                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5964                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5968                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-5969                ,USA,Commercial,Communications,LEO,565.0,567.0,290.0,2023-03-24,4.0,Active,High Risk
Starlink-6030                ,USA,Commercial,Communications,LEO,564.0,567.0,290.0,2023-03-29,4.0,Active,High Risk
Starlink-6062                ,USA,Commercial,Communications,LEO,564.0,567.0,290.0,2023-03-29,4.0,Active,High Risk
Starlink-6066                ,USA,Commercial,Communications,LEO,564.0,567.0,290.0,2023-03-29,4.0,Active,High Risk
Starlink-6071                ,USA,Commercial,Communications,LEO,564.0,567.0,290.0,2023-03-29,4.0,Active,High Risk
Starlink-6075                ,USA,Commercial,Communications,LEO,564.0,567.0,290.0,2023-03-29,4.0,Active,High Risk
