Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-2700,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2701,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2702,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2703,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2704,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2705,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2706,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2707,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2708,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2709,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2711,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2712,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2714,USA,Commercial,Communications,LEO,564.0,582.0,260.0,2021-05-15,4.0,Inactive (Archaeology),High Risk
Starlink-2715,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2717,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2719,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2720,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2722,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2723,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2725,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2726,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2727,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2728,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2729,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2731,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2732,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2733,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2734,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2735,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2736,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2737,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2738,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2739,USA,Commercial,Communications,LEO,564.0,582.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2740,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2741,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2742,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2743,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2745,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2746,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2748,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2749,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2750,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2751,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2752,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2753,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2754,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2755,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2756,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2757,USA,Commercial,Communications,LEO,564.0,582.0,260.0,2021-05-15,4.0,Inactive (Archaeology),High Risk
